"benchmark","size","mode","baseline_ms","current_ms","ratio","delta_pct"
"laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.scatterPayloadJsonExport","1000","avgt","0.0637185593770279","0.0741733133433283","1.16407706119718","16.4077061197175"
"laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.fluentBarMapping","1000","avgt","0.034098680097256","0.0394019857029388","1.15552817852646","15.5528178526465"
"laughing.man.commits.benchmark.StatsQueryJmhBenchmark.fluentGroupedMetricsToChart","1000","avgt","0.0529725416442773","0.0611913739987677","1.15515269041991","15.5152690419912"
"laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.sqlLikeLineMapping","1000","avgt","0.12683568677792","0.146506994047619","1.15509284310607","15.509284310607"
"laughing.man.commits.benchmark.StatsQueryJmhBenchmark.sqlLikeParseAndGroupedMetrics","1000","avgt","0.0820993344425957","0.0942944075829384","1.14854046288121","14.8540462881214"
"laughing.man.commits.benchmark.StatsQueryJmhBenchmark.sqlLikeParseAndTimeBucketMetrics","10000","avgt","1.29252857142857","1.47144117647059","1.13842061908486","13.8420619084863"
"laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.sqlLikePieMapping","100000","avgt","1.79319464285714","2.02510204081633","1.1293263945902","12.9326394590205"
"laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.sqlLikeAreaMapping","1000","avgt","0.136187777777778","0.152862461538462","1.12243891509774","12.2438915097744"
"laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.sqlLikeBarMapping","100000","avgt","1.84232222222222","2.06626458333333","1.12155439391107","12.1554393911066"
"laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.sqlLikeLineMapping","10000","avgt","0.652577777777778","0.728502222222222","1.11634543349452","11.6345433494518"
"laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.scatterPayloadJsonExport","100000","avgt","1.21261707317073","1.35075479452055","1.11391701832848","11.3917018328479"
"laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.fluentLineMapping","1000","avgt","0.106496801705757","0.118253928571429","1.11039887280517","11.0398872805174"
"laughing.man.commits.benchmark.StatsQueryJmhBenchmark.fluentTimeBucketMetricsToChart","1000","avgt","0.109448","0.121164640198511","1.10705211788714","10.7052117887135"
"laughing.man.commits.benchmark.StatsQueryJmhBenchmark.fluentGroupedMetricsExplain","10000","avgt","0.000730804001979185","0.00080742413095457","1.10484360891276","10.484360891276"
"laughing.man.commits.benchmark.StatsQueryJmhBenchmark.fluentTimeBucketMetrics","10000","avgt","1.17506071428571","1.26797820512821","1.07907462968752","7.9074629687516"
"laughing.man.commits.benchmark.StatsQueryJmhBenchmark.fluentTimeBucketMetricsToChart","10000","avgt","1.05685744680851","1.13388275862069","1.07288145818036","7.28814581803625"
