"suite","benchmark","params","baseline_ms","current_ms","delta_ms","delta_pct","direction","key"
"chart","laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.fluentScatterMapping","size=100000","5.357521","4.923914","-0.433607","-8.09","faster","chart|laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.fluentScatterMapping|size=100000|avgt|ms/op"
"chart","laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.linePayloadJsonExport","size=1000","0.001973","0.001937","-3.6E-05","-1.83","faster","chart|laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.linePayloadJsonExport|size=1000|avgt|ms/op"
"chart","laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.linePayloadJsonExport","size=10000","0.002476","0.001986","-0.00049","-19.78","faster","chart|laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.linePayloadJsonExport|size=10000|avgt|ms/op"
"chart","laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.linePayloadJsonExport","size=100000","0.002957","0.00289","-6.8E-05","-2.28","faster","chart|laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.linePayloadJsonExport|size=100000|avgt|ms/op"
"chart","laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.piePayloadJsonExport","size=1000","0.000389","0.00046","7E-05","18.09","slower","chart|laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.piePayloadJsonExport|size=1000|avgt|ms/op"
"chart","laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.piePayloadJsonExport","size=10000","0.000487","0.00048","-8E-06","-1.54","faster","chart|laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.piePayloadJsonExport|size=10000|avgt|ms/op"
"chart","laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.piePayloadJsonExport","size=100000","0.000442","0.000422","-2E-05","-4.47","faster","chart|laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.piePayloadJsonExport|size=100000|avgt|ms/op"
"chart","laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.scatterPayloadJsonExport","size=1000","0.079469","0.074173","-0.005296","-6.66","faster","chart|laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.scatterPayloadJsonExport|size=1000|avgt|ms/op"
"chart","laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.scatterPayloadJsonExport","size=10000","0.597244","0.578956","-0.018288","-3.06","faster","chart|laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.scatterPayloadJsonExport|size=10000|avgt|ms/op"
"chart","laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.scatterPayloadJsonExport","size=100000","1.430277","1.350755","-0.079522","-5.56","faster","chart|laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.scatterPayloadJsonExport|size=100000|avgt|ms/op"
"chart","laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.sqlLikeAreaMapping","size=1000","0.148566","0.152862","0.004297","2.89","slower","chart|laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.sqlLikeAreaMapping|size=1000|avgt|ms/op"
"chart","laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.sqlLikeAreaMapping","size=10000","0.75825","0.72822","-0.030031","-3.96","faster","chart|laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.sqlLikeAreaMapping|size=10000|avgt|ms/op"
"chart","laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.sqlLikeAreaMapping","size=100000","4.816271","3.830862","-0.98541","-20.46","faster","chart|laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.sqlLikeAreaMapping|size=100000|avgt|ms/op"
"chart","laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.sqlLikeBarMapping","size=1000","0.063484","0.055943","-0.007542","-11.88","faster","chart|laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.sqlLikeBarMapping|size=1000|avgt|ms/op"
"chart","laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.sqlLikeBarMapping","size=10000","0.388645","0.356629","-0.032016","-8.24","faster","chart|laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.sqlLikeBarMapping|size=10000|avgt|ms/op"
"chart","laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.sqlLikeBarMapping","size=100000","2.404919","2.066265","-0.338654","-14.08","faster","chart|laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.sqlLikeBarMapping|size=100000|avgt|ms/op"
"chart","laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.sqlLikeBoundScatterMapping","size=1000","0.215253","0.203553","-0.0117","-5.44","faster","chart|laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.sqlLikeBoundScatterMapping|size=1000|avgt|ms/op"
"chart","laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.sqlLikeBoundScatterMapping","size=10000","1.950775","1.643616","-0.307158","-15.75","faster","chart|laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.sqlLikeBoundScatterMapping|size=10000|avgt|ms/op"
