"benchmark","size","baseline_ms","current_ms","delta_ms","delta_pct","baseline_error","current_error"
"laughing.man.commits.benchmark.PojoLensJoinJmhBenchmark.pojoLensJoinLeftComputedField","10000","0.185024","0.193978","0.008953","4.84","0.032513","0.027285"
"laughing.man.commits.benchmark.PojoLensPipelineJmhBenchmark.fullGroupPipeline","10000","0.490283","0.479114","-0.011169","-2.28","0.059794","0.062837"
