"suite","benchmark","params","baseline_ms","current_ms","delta_ms","delta_pct","direction","key"
"chart","laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.fluentScatterMapping","size=100000","5.357521","5.07829","-0.279231","-5.21","faster","chart|laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.fluentScatterMapping|size=100000|avgt|ms/op"
"chart","laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.linePayloadJsonExport","size=1000","0.001973","0.002431","0.000458","23.21","slower","chart|laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.linePayloadJsonExport|size=1000|avgt|ms/op"
"chart","laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.linePayloadJsonExport","size=10000","0.002476","0.002476","0","-0.02","faster","chart|laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.linePayloadJsonExport|size=10000|avgt|ms/op"
"chart","laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.linePayloadJsonExport","size=100000","0.002957","0.002919","-3.8E-05","-1.28","faster","chart|laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.linePayloadJsonExport|size=100000|avgt|ms/op"
"chart","laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.piePayloadJsonExport","size=1000","0.000389","0.000476","8.6E-05","22.2","slower","chart|laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.piePayloadJsonExport|size=1000|avgt|ms/op"
"chart","laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.piePayloadJsonExport","size=10000","0.000487","0.000482","-6E-06","-1.14","faster","chart|laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.piePayloadJsonExport|size=10000|avgt|ms/op"
"chart","laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.piePayloadJsonExport","size=100000","0.000442","0.000479","3.7E-05","8.48","slower","chart|laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.piePayloadJsonExport|size=100000|avgt|ms/op"
"chart","laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.scatterPayloadJsonExport","size=1000","0.079469","0.07815","-0.00132","-1.66","faster","chart|laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.scatterPayloadJsonExport|size=1000|avgt|ms/op"
"chart","laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.scatterPayloadJsonExport","size=10000","0.597244","0.605551","0.008308","1.39","slower","chart|laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.scatterPayloadJsonExport|size=10000|avgt|ms/op"
"chart","laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.scatterPayloadJsonExport","size=100000","1.430277","1.44963","0.019353","1.35","slower","chart|laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.scatterPayloadJsonExport|size=100000|avgt|ms/op"
"chart","laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.sqlLikeAreaMapping","size=1000","0.148566","0.163463","0.014897","10.03","slower","chart|laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.sqlLikeAreaMapping|size=1000|avgt|ms/op"
"chart","laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.sqlLikeAreaMapping","size=10000","0.75825","0.750848","-0.007403","-0.98","faster","chart|laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.sqlLikeAreaMapping|size=10000|avgt|ms/op"
"chart","laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.sqlLikeAreaMapping","size=100000","4.816271","4.674414","-0.141858","-2.95","faster","chart|laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.sqlLikeAreaMapping|size=100000|avgt|ms/op"
